,Unnamed: 0,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,DD2,TD3,CFID,CFPARAMS,SEASON
241,241,202706,Jordan Hamilton,1610612743,DEN,22.0,40,26,14,0.65,9.9,2.1,5.0,0.418,0.7,1.8,0.37,0.3,0.7,0.5,0.8,1.6,2.4,0.6,0.5,0.4,0.2,0.4,0.6,0.5,5.2,-0.6,0,0,5,"202706,1610612743",2012
242,242,201941,Jordan Hill,1610612747,LAL,25.0,29,12,17,0.414,15.8,2.7,5.3,0.497,0.0,0.1,0.0,1.4,2.1,0.656,2.8,2.9,5.7,0.4,0.9,0.3,0.7,0.3,1.9,1.6,6.7,-1.1,0,0,5,"201941,1610612747",2012
243,243,101181,Jose Calderon,1610612765,DET,31.0,73,23,50,0.315,29.6,4.3,8.7,0.491,1.8,3.9,0.461,1.0,1.1,0.9,0.3,2.1,2.4,7.1,1.7,0.8,0.1,0.3,1.4,1.2,11.3,-3.4,11,2,5,"101181,1610612765",2012
244,244,200826,Jose Juan Barea,1610612750,MIN,29.0,74,29,45,0.392,23.1,4.3,10.2,0.417,1.3,3.8,0.346,1.4,1.8,0.784,0.5,2.3,2.8,4.0,2.0,0.4,0.0,0.6,1.8,2.6,11.3,-0.8,1,0,5,"200826,1610612750",2012
245,245,203006,Josh Akognon,1610612742,DAL,27.0,3,2,1,0.667,2.9,0.7,1.3,0.5,0.3,0.7,0.5,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,1.0,0.0,1.7,-1.7,0,0,5,"203006,1610612742",2012
246,246,2735,Josh Childress,1610612751,BKN,30.0,14,8,6,0.571,7.2,0.4,1.5,0.286,0.1,0.2,0.333,0.1,0.1,0.5,0.4,0.6,1.1,0.4,0.0,0.1,0.1,0.0,0.2,0.1,1.0,-2.5,0,0,5,"2735,1610612751",2012
247,247,202725,Josh Harrellson,1610612748,MIA,24.0,6,3,3,0.5,5.1,0.7,1.5,0.444,0.2,0.8,0.2,0.2,0.3,0.5,0.5,0.7,1.2,0.0,0.5,0.2,0.2,0.0,0.7,0.2,1.7,-0.2,0,0,5,"202725,1610612748",2012
248,248,2572,Josh Howard,1610612750,MIN,33.0,11,5,6,0.455,18.8,2.8,7.0,0.403,0.5,1.5,0.313,0.6,1.1,0.583,0.8,2.5,3.3,0.4,0.9,0.9,0.3,0.4,1.6,0.9,6.7,-1.5,1,0,5,"2572,1610612750",2012
249,249,201177,Josh McRoberts,1610612766,CHA,26.0,67,19,48,0.284,22.2,2.3,5.1,0.455,0.4,1.3,0.286,1.0,1.3,0.765,1.4,3.5,4.9,2.1,1.0,0.5,0.4,0.3,2.0,1.0,6.0,-3.6,3,0,5,"201177,1610612766",2012
250,250,202729,Josh Selby,1610612763,MEM,22.0,10,6,4,0.6,5.9,0.6,2.2,0.273,0.1,0.6,0.167,0.7,1.1,0.636,0.0,0.5,0.5,0.4,0.7,0.2,0.0,0.3,0.7,0.6,2.0,-4.0,0,0,5,"202729,1610612763",2012
251,251,2746,Josh Smith,1610612737,ATL,27.0,76,40,36,0.526,35.3,7.2,15.6,0.465,0.8,2.6,0.303,2.2,4.2,0.517,1.8,6.7,8.4,4.2,3.0,1.2,1.8,0.5,2.3,4.0,17.5,1.1,29,0,5,"2746,1610612737",2012
252,252,201950,Jrue Holiday,1610612755,PHI,23.0,78,34,44,0.436,37.5,7.1,16.5,0.431,1.2,3.2,0.368,2.3,3.1,0.752,1.1,3.1,4.2,8.0,3.7,1.6,0.4,1.0,2.2,3.2,17.7,-1.6,20,1,5,"201950,1610612755",2012
253,253,202933,Julyan Stone,1610612743,DEN,24.0,4,2,2,0.5,7.0,0.5,0.5,1.0,0.0,0.0,0.0,0.8,1.0,0.75,0.5,0.3,0.8,0.5,0.5,0.3,0.0,0.0,1.0,0.8,1.8,1.8,0,0,5,"202933,1610612743",2012
254,254,202458,Justin Dentmon,1610612742,DAL,27.0,2,0,2,0.0,2.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,0,5,"202458,1610612742",2012
255,255,203200,Justin Holiday,1610612755,PHI,24.0,9,4,5,0.444,15.8,1.8,5.3,0.333,0.4,1.8,0.25,0.7,0.9,0.75,0.0,1.6,1.6,1.7,1.0,0.3,0.7,0.2,0.8,0.7,4.7,1.3,0,0,5,"203200,1610612755",2012
256,256,436,Juwan Howard,1610612748,MIA,40.0,7,7,0,1.0,7.2,1.4,2.7,0.526,0.0,0.0,0.0,0.1,0.1,1.0,0.0,1.1,1.1,0.9,0.6,0.0,0.0,0.3,1.3,0.3,3.0,-1.9,0,0,5,"436,1610612748",2012
257,257,202695,Kawhi Leonard,1610612759,SAS,22.0,58,43,15,0.741,31.2,4.5,9.1,0.494,1.1,3.0,0.374,1.8,2.2,0.825,1.1,4.9,6.0,1.6,1.1,1.7,0.6,0.5,1.7,1.6,11.9,6.1,6,0,5,"202695,1610612759",2012
258,258,2586,Keith Bogans,1610612751,BKN,33.0,74,44,30,0.595,19.0,1.5,3.8,0.38,1.1,3.3,0.343,0.1,0.2,0.647,0.2,1.4,1.6,1.0,0.7,0.4,0.1,0.0,1.5,0.5,4.2,-0.5,0,0,5,"2586,1610612751",2012
259,259,202689,Kemba Walker,1610612766,CHA,23.0,82,21,61,0.256,34.9,6.4,15.2,0.423,1.3,4.0,0.322,3.6,4.5,0.798,0.7,2.7,3.5,5.7,2.4,2.0,0.4,1.3,1.9,4.0,17.7,-5.7,5,0,5,"202689,1610612766",2012
